id,university_name,program_name,country_id,location,campus,level_of_study,degree_15yr_accepted,portal_or_direct,duration_in_months,duration_in_years,pace_of_study,teaching_form,language_of_study,private_or_public,currency,application_fee,admission_fee,initial_deposit,scholarship,Scholarship_Criteria,concentration,tuition_fee_per_semester,tuition_fee_per_year,tuition_fee_per_course,credits,per_credit_rate,gre_score,gmat_score,sat_score,act_score,ielts,ielts_nblt,toefl,toefl_nblt,duolingo,duolingo_nblt,pte,pte_nblt,backlogs,moi_accepted,wes_required,aps_required,inter_english_first_year,inter_english_second_year,intakes,deadlines,gap_accepted,without_maths,stateboard_accepted,entry_requirement_out_of4,entry_requirement_out_of5,entry_requirement_out_of10,entry_requirement_out_of100,english_requirement_icse,english_requirement_cbse,english_requirement_ib,english_requirement_others,age_gap_upto,noticeable_academic_gap,data,created_at,updated_at
,Towson University,Instructional Technology M.S.,2,Maryland,Towson,Master,Instructional Technology M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Jewish Studies, Education & Communal Leadership M.A.",2,Maryland,Towson,Master,"Jewish Studies, Education & Communal Leadership M.A.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,10160,20320,40640,32,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Marketing Intelligence M.S.,2,Maryland,Towson,Master,Marketing Intelligence M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Business & Management,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Mathematics Education M.S.,2,Maryland,Towson,Master,Mathematics Education M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Mathematics, Applied and Industrial M.S.",2,Maryland,Towson,Master,"Mathematics, Applied and Industrial M.S.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Music Education M.S.,2,Maryland,Towson,Master,Music Education M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,10795,21590,43180,34,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Music M.M.,2,Maryland,Towson,Master,Music M.M.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Arts & Humanities,9843,19685,39370,31,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Music Pedagogy M.M.,2,Maryland,Towson,Master,Music Pedagogy M.M.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Arts & Humanities,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Nursing M.S.,2,Maryland,Towson,Master,Nursing M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Health & Medicine,23178,46355,92710,73,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Occupational Therapy M.S.,2,Maryland,Towson,Master,Occupational Therapy M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Health & Medicine,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Occupational Therapy OTD – Entry-Level,2,Maryland,Towson,Master,Occupational Therapy OTD – Entry-Level,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Health & Medicine,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Occupational Therapy OTD – Post-Professional,2,Maryland,Towson,Master,Occupational Therapy OTD – Post-Professional,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Health & Medicine,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Organizational Change C.A.S.,2,Maryland,Towson,Master,Organizational Change C.A.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Physician Assistant Studies M.S.,2,Maryland,Towson,Master,Physician Assistant Studies M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Physics, Applied M.S.",2,Maryland,Towson,Master,"Physics, Applied M.S.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,11748,23495,46990,37,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
